timestamp,cmd_num,J1,J2,J3,J4,J5,J6,J1_2,J2_2,J3_2,J4_2,J5_2,J6_2
0.000000000000000000e+00,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
2.000000094994902611e-03,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
4.000000189989805222e-03,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
9.999999776482582092e-03,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
1.200000010430812836e-02,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
1.600000075995922089e-02,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
1.999999955296516418e-02,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
2.400000020861625671e-02,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
2.800000086426734924e-02,-1.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
3.200000151991844177e-02,2.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
3.700000047683715820e-02,2.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
4.300000146031379700e-02,2.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
4.399999976158142090e-02,2.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
5.000000074505805969e-02,2.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
5.200000107288360596e-02,2.000000000000000000e+00,5.417614459991455078e+00,1.110130310058593750e+01,3.590122222900390625e+01,-1.092124938964843750e+02,9.025817871093750000e+01,-6.537556457519531250e+01,5.207360839843750000e+01,-1.203956413269042969e+01,-1.102055053710937500e+02,-1.118434829711914062e+02,6.377935028076171875e+01,-3.835161972045898438e+01
