timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0.002, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.006, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.01, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.011, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.013, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.016, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.02, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.024, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.028, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.032, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.036, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.04, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.044, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.048, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963012, -3.29016, 3.3661, 0.0898006, -98.3466, -90.4935
0.052, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963011, -3.29014, 3.3661, 0.0898006, -98.3466, -90.4935
0.056, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.963009, -3.29004, 3.36607, 0.0898008, -98.3463, -90.4933
0.06, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.962995, -3.28969, 3.36595, 0.089801, -98.3449, -90.492
0.064, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.962947, -3.28889, 3.36566, 0.0897997, -98.3402, -90.4878
0.068, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.96282, -3.28742, 3.36501, 0.0897936, -98.3279, -90.4766
0.072, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.962547, -3.285, 3.36378, 0.0897766, -98.3012, -90.4523
0.076, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.962035, -3.28137, 3.36165, 0.0897399, -98.2507, -90.4061
0.08, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.961167, -3.27626, 3.35824, 0.0896722, -98.1646, -90.3272
0.084, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.959816, -3.2695, 3.35317, 0.08956, -98.0297, -90.2034
0.088, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.957855, -3.26096, 3.34604, 0.0893899, -97.8328, -90.0225
0.092, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.955178, -3.25047, 3.33651, 0.0891506, -97.5626, -89.7741
0.096, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.951704, -3.23783, 3.32432, 0.0888341, -97.2108, -89.4505
0.1, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.947383, -3.22285, 3.30928, 0.0884359, -96.7723, -89.047
0.104, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.942198, -3.20539, 3.29133, 0.0879549, -96.2455, -88.5622
0.108, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.936159, -3.18535, 3.27048, 0.087393, -95.6315, -87.9972
0.112, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.929299, -3.16265, 3.24679, 0.0867537, -94.9335, -87.3548
0.116, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.921656, -3.13735, 3.22038, 0.086041, -94.1555, -86.6389
0.12, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.913279, -3.10966, 3.19141, 0.0852591, -93.3024, -85.8538
0.124, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.904227, -3.07982, 3.16009, 0.0844128, -92.3798, -85.0046
0.128, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.894564, -3.04807, 3.12665, 0.0835077, -91.3941, -84.0975
0.131, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.884367, -3.01468, 3.09134, 0.0825509, -90.3531, -83.1394
0.136, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.873721, -2.97989, 3.05446, 0.0815507, -89.2655, -82.1385
0.139, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.862719, -2.94389, 3.01631, 0.0805164, -88.141, -81.1035
0.144, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.851452, -2.90682, 2.97718, 0.0794575, -86.989, -80.0432
0.148, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.840001, -2.86884, 2.93734, 0.0783827, -85.8181, -78.9657
0.152, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.828431, -2.83015, 2.89703, 0.0772985, -84.6353, -77.8772
0.156, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.816793, -2.79092, 2.85642, 0.0762095, -83.4457, -76.7825
0.16, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.805118, -2.7513, 2.81564, 0.0751187, -82.2527, -75.6848
0.164, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.793422, -2.71145, 2.77477, 0.0740273, -81.0581, -74.5855
0.168, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.781713, -2.67147, 2.73385, 0.0729354, -79.8625, -73.4854
0.172, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.769994, -2.63145, 2.6929, 0.0718428, -78.6661, -72.3845
0.176, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.758268, -2.59139, 2.65192, 0.0707496, -77.4688, -71.2828
0.18, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.746533, -2.5513, 2.61091, 0.0696555, -76.2707, -70.1804
0.184, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.73479, -2.51118, 2.56987, 0.0685606, -75.0716, -69.077
0.188, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.723036, -2.47103, 2.52879, 0.0674648, -73.8715, -67.9728
0.192, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.711272, -2.43084, 2.48768, 0.066368, -72.6703, -66.8675
0.196, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.699496, -2.39061, 2.44652, 0.0652701, -71.4679, -65.7612
0.2, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.687709, -2.35034, 2.40533, 0.064171, -70.2644, -64.6537
0.204, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.675908, -2.31003, 2.36408, 0.0630707, -69.0595, -63.5451
0.208, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.664093, -2.26968, 2.3228, 0.0619692, -67.8533, -62.4352
0.212, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.652265, -2.22928, 2.28146, 0.0608663, -66.6457, -61.324
0.216, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.640422, -2.18883, 2.24007, 0.059762, -65.4365, -60.2114
0.22, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.628564, -2.14832, 2.19863, 0.0586564, -64.2258, -59.0974
0.224, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.616691, -2.10776, 2.15713, 0.0575494, -63.0135, -57.9818
0.228, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.604801, -2.06714, 2.11558, 0.0564408, -61.7995, -56.8648
0.232, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.592893, -2.02646, 2.07397, 0.0553306, -60.5837, -55.7461
0.236, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.580968, -1.98572, 2.03229, 0.0542186, -59.3661, -54.6257
0.24, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.569024, -1.94492, 1.99054, 0.0531049, -58.1466, -53.5036
0.244, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.55706, -1.90406, 1.94873, 0.0519893, -56.9252, -52.3797
0.248, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.545076, -1.86313, 1.90685, 0.0508718, -55.7016, -51.2538
0.252, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.533072, -1.82212, 1.8649, 0.0497524, -54.476, -50.1261
0.256, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.521046, -1.78105, 1.82287, 0.0486311, -53.2481, -48.9963
0.26, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.508998, -1.73989, 1.78076, 0.0475078, -52.018, -47.8644
0.264, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.496928, -1.69865, 1.73858, 0.0463823, -50.7856, -46.7304
0.268, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.484834, -1.65734, 1.69631, 0.0452546, -49.5508, -45.5941
0.272, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.472716, -1.61594, 1.65396, 0.0441247, -48.3135, -44.4557
0.276, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.460572, -1.57446, 1.61152, 0.0429923, -47.0736, -43.3148
0.28, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.448403, -1.53289, 1.56898, 0.0418575, -45.8312, -42.1716
0.284, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.436207, -1.49124, 1.52636, 0.0407201, -44.586, -41.0258
0.288, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.423984, -1.44949, 1.48364, 0.0395803, -43.338, -39.8775
0.292, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.411733, -1.40764, 1.44082, 0.0384379, -42.0871, -38.7265
0.296, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.399453, -1.36569, 1.39791, 0.0372929, -40.8333, -37.5728
0.3, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.387144, -1.32364, 1.35489, 0.0361452, -39.5765, -36.4164
0.304, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.374804, -1.28148, 1.31176, 0.0349946, -38.3167, -35.2571
0.308, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.362434, -1.23922, 1.26852, 0.0338409, -37.0536, -34.0949
0.312, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.350031, -1.19686, 1.22517, 0.0326841, -35.7873, -32.9297
0.316, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.337596, -1.15438, 1.18171, 0.0315238, -34.5176, -31.7614
0.32, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.325127, -1.11179, 1.13813, 0.0303602, -33.2446, -30.59
0.324, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.312624, -1.06908, 1.09443, 0.0291933, -31.968, -29.4154
0.328, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.300085, -1.02625, 1.05061, 0.0280233, -30.6878, -28.2374
0.332, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.287511, -0.983296, 1.00666, 0.02685, -29.4039, -27.0561
0.336, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.2749, -0.940213, 0.962585, 0.0256736, -28.1163, -25.8713
0.34, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.262251, -0.897003, 0.918377, 0.024494, -26.8248, -24.6829
0.344, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.249564, -0.853663, 0.874033, 0.0233111, -25.5295, -23.491
0.348, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.236838, -0.81019, 0.829551, 0.0221246, -24.2301, -22.2954
0.352, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.224071, -0.766581, 0.784927, 0.0209344, -22.9266, -21.096
0.356, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.211264, -0.722836, 0.740159, 0.0197404, -21.6189, -19.8927
0.36, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.198417, -0.678977, 0.695251, 0.0185425, -20.307, -18.6855
0.364, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.185538, -0.635063, 0.650216, 0.0173409, -18.9911, -17.4747
0.368, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.172639, -0.591184, 0.605086, 0.0161362, -17.6719, -16.2608
0.372, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.159741, -0.547445, 0.559919, 0.0149298, -16.3511, -15.0454
0.376, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.146877, -0.50396, 0.51481, 0.013724, -15.0314, -13.8311
0.38, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.134087, -0.460858, 0.469894, 0.0125225, -13.717, -12.6215
0.384, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.121421, -0.418278, 0.425347, 0.0113302, -12.4131, -11.4215
0.388, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.108936, -0.376381, 0.381381, 0.0101529, -11.1259, -10.2369
0.392, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.0966993, -0.3354, 0.33824, 0.00899706, -9.86251, -9.0743
0.396, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.0847949, -0.295657, 0.296203, 0.00786996, -8.63095, -7.94089
0.4, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.073318, -0.257534, 0.255591, 0.00677992, -7.4403, -6.8451
0.404, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.0623759, -0.221429, 0.216772, 0.00573659, -6.3012, -5.79669
0.408, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.0520905, -0.187764, 0.180172, 0.0047512, -5.22604, -4.80708
0.412, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.0425931, -0.156926, 0.146262, 0.00383667, -4.22889, -3.88922
0.416, -1, -33.569, -1.91467, 23.1948, -159.946, -92.5335, 54.8148, 0.0340062, -0.129129, 0.115525, 0.00300718, -3.32474, -3.05694
