timestamp,J1,J2,J3,J4,J5,J6
 0,  18.6420,   8.3360, -35.3580, -34.7470,  32.8020,  25.2540
 8,  18.6420,   8.3360, -35.3580, -34.7470,  32.8020,  25.2540
 16,  18.6420,   8.3360, -35.3580, -34.7469,  32.8020,  25.2540
 24,  18.6419,   8.3360, -35.3582, -34.7466,  32.8022,  25.2536
 32,  18.6416,   8.3359, -35.3585, -34.7455,  32.8027,  25.2527
 40,  18.6410,   8.3358, -35.3592, -34.7434,  32.8037,  25.2509
 48,  18.6401,   8.3356, -35.3603, -34.7400,  32.8052,  25.2480
 56,  18.6386,   8.3353, -35.3620, -34.7349,  32.8076,  25.2437
 64,  18.6367,   8.3349, -35.3644, -34.7278,  32.8109,  25.2376
 72,  18.6340,   8.3344, -35.3675, -34.7184,  32.8153,  25.2296
 80,  18.6306,   8.3337, -35.3716, -34.7063,  32.8209,  25.2192
 88,  18.6264,   8.3328, -35.3766, -34.6911,  32.8280,  25.2063
 104,  18.6078,   8.3290, -35.3989, -34.6243,  32.8591,  25.1493
 112,  18.6078,   8.3290, -35.3989, -34.6243,  32.8591,  25.1493
 120,  18.5992,   8.3273, -35.4091, -34.5939,  32.8733,  25.1233
 128,  18.5894,   8.3253, -35.4208, -34.5587,  32.8897,  25.0933
 136,  18.5782,   8.3231, -35.4342, -34.5186,  32.9085,  25.0591
 144,  18.5654,   8.3206, -35.4494, -34.4732,  32.9298,  25.0204
 152,  18.5511,   8.3177, -35.4664, -34.4221,  32.9537,  24.9768
 160,  18.5350,   8.3146, -35.4854, -34.3652,  32.9805,  24.9283
 168,  18.5172,   8.3111, -35.5066, -34.3020,  33.0104,  24.8744
 176,  18.4975,   8.3072, -35.5299, -34.2322,  33.0434,  24.8150
 184,  18.4758,   8.3031, -35.5555, -34.1556,  33.0797,  24.7497
 192,  18.4520,   8.2985, -35.5836, -34.0719,  33.1195,  24.6784
 200,  18.4261,   8.2936, -35.6141, -33.9807,  33.1631,  24.6009
 208,  18.3979,   8.2884, -35.6473, -33.8818,  33.2105,  24.5167
 216,  18.3673,   8.2827, -35.6831, -33.7750,  33.2619,  24.4259
 232,  18.2603,   8.2635, -35.8079, -33.4038,  33.4423,  24.1106
 240,  18.2603,   8.2635, -35.8079, -33.4038,  33.4423,  24.1106
 248,  18.2192,   8.2564, -35.8555, -33.2623,  33.5118,  23.9906
 256,  18.1753,   8.2489, -35.9063, -33.1116,  33.5862,  23.8628
 264,  18.1283,   8.2411, -35.9603, -32.9515,  33.6658,  23.7271
 272,  18.0783,   8.2329, -36.0177, -32.7816,  33.7508,  23.5833
 280,  18.0251,   8.2244, -36.0785, -32.6018,  33.8414,  23.4312
 288,  17.9685,   8.2156, -36.1427, -32.4120,  33.9377,  23.2707
 296,  17.9086,   8.2066, -36.2106, -32.2118,  34.0401,  23.1018
 304,  17.8452,   8.1973, -36.2821, -32.0013,  34.1487,  22.9242
 312,  17.7781,   8.1878, -36.3572, -31.7802,  34.2637,  22.7379
 320,  17.7075,   8.1782, -36.4359, -31.5491,  34.3850,  22.5434
 328,  17.6334,   8.1685, -36.5180, -31.3083,  34.5126,  22.3410
 336,  17.5560,   8.1588, -36.6033, -31.0584,  34.6464,  22.1311
 344,  17.4752,   8.1491, -36.6918, -30.7998,  34.7862,  21.9143
 360,  17.2137,   8.1211, -36.9741, -29.9770,  35.2410,  21.2264
 368,  17.2137,   8.1211, -36.9741, -29.9770,  35.2410,  21.2264
 376,  17.1205,   8.1123, -37.0735, -29.6886,  35.4040,  20.9859
 384,  17.0243,   8.1039, -37.1751, -29.3938,  35.5725,  20.7407
 392,  16.9253,   8.0959, -37.2789, -29.0933,  35.7465,  20.4909
 400,  16.8235,   8.0885, -37.3848, -28.7873,  35.9257,  20.2372
 408,  16.7191,   8.0816, -37.4926, -28.4764,  36.1102,  19.9798
 416,  16.6120,   8.0753, -37.6021, -28.1610,  36.2997,  19.7192
 424,  16.5024,   8.0697, -37.7131, -27.8414,  36.4941,  19.4557
 432,  16.3904,   8.0649, -37.8257, -27.5182,  36.6934,  19.1896
 440,  16.2761,   8.0609, -37.9395, -27.1917,  36.8973,  18.9215
 448,  16.1595,   8.0577, -38.0545, -26.8624,  37.1058,  18.6515
 456,  16.0407,   8.0554, -38.1706, -26.5305,  37.3187,  18.3801
 464,  15.9198,   8.0541, -38.2875, -26.1965,  37.5359,  18.1076
 472,  15.7969,   8.0538, -38.4052, -25.8608,  37.7572,  17.8343
 488,  15.4172,   8.0592, -38.7614, -24.8466,  38.4444,  17.0125
 496,  15.4172,   8.0592, -38.7614, -24.8466,  38.4444,  17.0125
 504,  15.2872,   8.0633, -38.8808, -24.5074,  38.6806,  16.7390
 512,  15.1557,   8.0685, -39.0003, -24.1681,  38.9202,  16.4661
 520,  15.0227,   8.0750, -39.1197, -23.8290,  39.1630,  16.1941
 528,  14.8883,   8.0827, -39.2391, -23.4904,  39.4088,  15.9233
 536,  14.7527,   8.0917, -39.3581, -23.1527,  39.6574,  15.6538
 544,  14.6159,   8.1020, -39.4768, -22.8160,  39.9087,  15.3860
 552,  14.4780,   8.1135, -39.5951, -22.4806,  40.1624,  15.1199
 560,  14.3392,   8.1264, -39.7127, -22.1469,  40.4184,  14.8559
 568,  14.1995,   8.1406, -39.8297, -21.8150,  40.6765,  14.5941
 576,  14.0590,   8.1561, -39.9459, -21.4852,  40.9364,  14.3348
 584,  13.9179,   8.1729, -40.0612, -21.1577,  41.1981,  14.0779
 592,  13.7762,   8.1911, -40.1755, -20.8327,  41.4612,  13.8239
 600,  13.6341,   8.2106, -40.2888, -20.5104,  41.7257,  13.5727
 616,  13.2055,   8.2769, -40.6217, -19.5608,  42.5256,  12.8372
 624,  13.2055,   8.2769, -40.6217, -19.5608,  42.5256,  12.8372
 632,  13.0619,   8.3016, -40.7304, -19.2500,  42.7943,  12.5980
 640,  12.9180,   8.3276, -40.8378, -18.9419,  43.0640,  12.3617
 648,  12.7738,   8.3549, -40.9441, -18.6365,  43.3348,  12.1282
 656,  12.6293,   8.3836, -41.0493, -18.3338,  43.6066,  11.8975
 664,  12.4844,   8.4136, -41.1532, -18.0338,  43.8793,  11.6697
 672,  12.3392,   8.4449, -41.2560, -17.7364,  44.1530,  11.4446
 680,  12.1936,   8.4775, -41.3576, -17.4416,  44.4277,  11.2222
 688,  12.0478,   8.5114, -41.4580, -17.1494,  44.7033,  11.0025
 696,  11.9016,   8.5467, -41.5572, -16.8596,  44.9798,  10.7855
 704,  11.7551,   8.5832, -41.6552, -16.5724,  45.2573,  10.5710
 712,  11.6083,   8.6211, -41.7520, -16.2876,  45.5356,  10.3592
 720,  11.4612,   8.6604, -41.8476, -16.0052,  45.8149,  10.1499
 728,  11.3138,   8.7009, -41.9420, -15.7251,  46.0950,   9.9432
 744,  10.8697,   8.8305, -42.2179, -14.8991,  46.9404,   9.3378
 752,  10.8697,   8.8305, -42.2179, -14.8991,  46.9404,   9.3378
 760,  10.7211,   8.8763, -42.3075, -14.6283,  47.2238,   9.1408
 768,  10.5722,   8.9235, -42.3958, -14.3597,  47.5081,   8.9462
 776,  10.4230,   8.9720, -42.4829, -14.0933,  47.7932,   8.7540
