breakpoints,primitives,points,q_bp
0,movej_fit,"[array([303.32015278, -18.85701068, 777.22116041])]","[array([-0.7143443 , -0.75366184, -0.30374424, -0.21251863, -1.93913269,
       -1.24794127])]"
9281,movec_fit,"[array([389.81435216, -58.88770084, 780.94685411]), array([477.94759993, -94.79610949, 787.01159634])]","[array([-0.49633468, -0.68187624, -0.26812518, -0.11076476, -1.77646297,
       -1.22856337]), array([-0.35410113, -0.61431177, -0.24132145, -0.01405088, -1.6297696 ,
       -1.15213803])]"
12725,movel_fit,"[array([ 544.32866331, -118.99279278,  791.46232178])]","[array([-0.14183055, -0.55600405, -0.22072076,  0.17916863, -1.5333356 ,
       -1.07866248])]"
17234,movec_fit,"[array([ 588.05253277, -134.13753121,  794.18531896]), array([ 631.56532335, -149.93886457,  796.08384646])]","[array([-0.09044982, -0.49275564, -0.19249292,  0.24330124, -1.49955205,
       -1.03925418]), array([-0.05121024, -0.4329143 , -0.16717039,  0.30300892, -1.46476763,
       -0.99202072])]"
22740,movec_fit,"[array([ 683.47470607, -172.36738831,  797.72742058]), array([ 732.605908  , -200.31844264,  798.46615638])]","[array([-0.07607432, -0.34888645, -0.11412961,  0.30699076, -1.43522244,
       -0.98123777]), array([-0.10604788, -0.26627309, -0.05646627,  0.30928576, -1.4096568 ,
       -0.96405165])]"
26077,movec_fit,"[array([ 760.24503053, -220.63039734,  797.9503115 ]), array([ 786.7495017 , -242.29530721,  796.07998523])]","[array([-0.2253405 , -0.20725656,  0.00334459,  0.1817206 , -1.40605419,
       -0.99323142]), array([-0.33604198, -0.15382636,  0.04673563,  0.0566057 , -1.40448833,
       -1.02898781])]"
28750,movec_fit,"[array([ 807.38058989, -260.1780583 ,  792.93574485]), array([ 827.93327134, -277.87462424,  788.62177038])]","[array([-0.46164953, -0.08197468,  0.09806754, -0.10588953, -1.43815296,
       -1.03139853]), array([-0.57095462, -0.01660058,  0.12449282, -0.25659481, -1.46919789,
       -1.04886943])]"
31232,movec_fit,"[array([ 847.3832515 , -293.53627056,  783.33347331]), array([ 867.25037639, -308.44060397,  777.62237085])]","[array([-0.66634036,  0.05843184,  0.14401626, -0.40386369, -1.51105971,
       -1.03789579]), array([-0.74389117,  0.12896237,  0.14399618, -0.53886113, -1.54752106,
       -1.03867853])]"
32670,movel_fit,"[array([ 891.32454431, -324.51252883,  771.59819272])]","[array([-0.78525036,  0.2042146 ,  0.16386892, -0.62931021, -1.57442834,
       -1.01626907])]"
35652,movec_fit,"[array([ 917.75914304, -339.56153453,  767.94913949]), array([ 945.2427795 , -352.98984916,  768.57881831])]","[array([-0.7986563 ,  0.25589695,  0.18899145, -0.67708674, -1.57250398,
       -0.99171082]), array([-0.80814103,  0.31030716,  0.2251214 , -0.72455519, -1.57664898,
       -0.97496068])]"
36596,movel_fit,"[array([ 962.9727111 , -360.23212034,  771.75547959])]","[array([-0.77446604,  0.30272498,  0.26738125, -0.66802113, -1.5304881 ,
       -0.94252478])]"
37671,movel_fit,"[array([ 983.13791479, -367.21379394,  777.53721701])]","[array([-0.74680266,  0.31310883,  0.31737682, -0.62923405, -1.50242509,
       -0.91796994])]"
38914,movel_fit,"[array([1006.63144001, -373.18965366,  785.6340444 ])]","[array([-0.67600967,  0.2982376 ,  0.37732604, -0.50720554, -1.43623503,
       -0.86679175])]"
40164,movel_fit,"[array([1030.71920761, -376.99131627,  793.76531425])]","[array([-0.58360035,  0.29213157,  0.43995061, -0.34965835, -1.37694122,
       -0.79840215])]"
41431,movel_fit,"[array([1055.78575635, -379.16426034,  800.52007907])]","[array([-0.47477052,  0.29428645,  0.49055769, -0.1662357 , -1.32395451,
       -0.70440539])]"
42687,movel_fit,"[array([1081.154815  , -380.771805  ,  805.09357406])]","[array([-0.3850429 ,  0.3226083 ,  0.54705286, -0.01829163, -1.30362545,
       -0.60131586])]"
43749,movel_fit,"[array([1102.74088987, -383.24438927,  807.29747759])]","[array([-0.33492608,  0.36124552,  0.60280776,  0.06249129, -1.3048816 ,
       -0.52222205])]"
44620,movel_fit,"[array([1120.1750927 , -387.23859036,  808.35217258])]","[array([-0.31398253,  0.39927055,  0.65555997,  0.09520144, -1.31355159,
       -0.47006628])]"
47344,movec_fit,"[array([1145.46708602, -399.0784211 ,  809.20333121]), array([1166.88147511, -416.95009483,  808.61876461])]","[array([-0.33256867,  0.46240899,  0.74633173,  0.05835691, -1.33277545,
       -0.43152889]), array([-0.35726531,  0.52926374,  0.84419262,  0.01845374, -1.35697077,
       -0.38874492])]"
48149,movel_fit,"[array([1178.10206141, -429.02204491,  807.07816614])]","[array([-0.4396934 ,  0.55357889,  0.86249591, -0.13800384, -1.35696116,
       -0.43814464])]"
49105,movel_fit,"[array([1190.15093464, -444.27608412,  804.12567431])]","[array([-0.5027347 ,  0.60262922,  0.91192396, -0.25821139, -1.37782178,
       -0.4594669 ])]"
49999,movel_fit,"[array([1201.37760186, -458.10904731,  799.56535418])]","[array([-0.5858303 ,  0.63333245,  0.8972329 , -0.43204548, -1.38001604,
       -0.51246258])]"
