timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.002, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.004, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.008, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.011, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.016, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.02, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.024, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.028, 1, -0.804896, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.032, 1, -0.804887, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.036, 1, -0.804822, 64.4317, 8.47945, 44.5963, -96.407, 169.864
0.04, 1, -0.804599, 64.4316, 8.47946, 44.5964, -96.407, 169.864
0.044, 1, -0.804071, 64.4315, 8.47947, 44.5964, -96.407, 169.864
0.048, 1, -0.803096, 64.4312, 8.4795, 44.5964, -96.407, 169.864
0.052, 1, -0.801564, 64.4307, 8.47954, 44.5965, -96.4069, 169.864
0.056, 1, -0.7994, 64.4299, 8.47955, 44.5968, -96.4067, 169.863
0.06, 1, -0.796557, 64.4288, 8.47952, 44.5972, -96.4063, 169.862
0.064, 1, -0.792998, 64.4274, 8.47938, 44.598, -96.4057, 169.86
0.068, 1, -0.788676, 64.4255, 8.47908, 44.5993, -96.4046, 169.857
0.072, 1, -0.783494, 64.4232, 8.47853, 44.6013, -96.4029, 169.852
0.076, 1, -0.777295, 64.4203, 8.47763, 44.6042, -96.4005, 169.845
0.08, 1, -0.76988, 64.4167, 8.47628, 44.6083, -96.3971, 169.836
0.084, 1, -0.761048, 64.4124, 8.47434, 44.6139, -96.3925, 169.823
0.088, 1, -0.750642, 64.4073, 8.47166, 44.6213, -96.3863, 169.805
0.092, 1, -0.738554, 64.4014, 8.46807, 44.6309, -96.3783, 169.783
0.096, 1, -0.724704, 64.3946, 8.46338, 44.6431, -96.3681, 169.754
0.1, 1, -0.70899, 64.3869, 8.45743, 44.6582, -96.3554, 169.719
0.104, 1, -0.691282, 64.3782, 8.45004, 44.6766, -96.34, 169.676
0.108, 1, -0.671452, 64.3685, 8.44104, 44.6987, -96.3215, 169.624
0.112, 1, -0.649414, 64.3578, 8.4303, 44.7248, -96.2996, 169.563
0.116, 1, -0.62515, 64.3462, 8.41768, 44.7551, -96.2742, 169.493
0.12, 1, -0.598686, 64.3339, 8.40304, 44.79, -96.2449, 169.411
0.124, 1, -0.570066, 64.3208, 8.38633, 44.8295, -96.2118, 169.319
0.128, 1, -0.539338, 64.3073, 8.36747, 44.8738, -96.1746, 169.216
0.131, 1, -0.506541, 64.2931, 8.34646, 44.9229, -96.1334, 169.102
0.136, 1, -0.471677, 64.2784, 8.32333, 44.9766, -96.0882, 168.977
0.139, 1, -0.434711, 64.2629, 8.29817, 45.035, -96.0393, 168.841
0.144, 1, -0.395603, 64.2466, 8.2711, 45.0976, -95.9867, 168.695
0.148, 1, -0.35437, 64.2293, 8.24224, 45.1642, -95.9307, 168.54
0.152, 1, -0.311103, 64.2111, 8.21176, 45.2345, -95.8717, 168.376
0.156, 1, -0.265936, 64.192, 8.17982, 45.3082, -95.8098, 168.205
0.16, 1, -0.218984, 64.172, 8.14661, 45.3848, -95.7455, 168.026
0.164, 1, -0.170325, 64.1512, 8.11232, 45.4638, -95.6791, 167.842
0.168, 1, -0.120028, 64.1296, 8.07715, 45.5451, -95.6109, 167.653
0.172, 1, -0.068188, 64.1071, 8.04127, 45.628, -95.5412, 167.46
0.176, 1, -0.0149353, 64.0839, 8.00485, 45.7124, -95.4704, 167.264
0.18, 1, 0.0395868, 64.06, 7.96803, 45.7978, -95.3987, 167.065
0.184, 1, 0.0952326, 64.0355, 7.93092, 45.884, -95.3263, 166.864
0.188, 1, 0.151848, 64.0104, 7.8936, 45.9708, -95.2533, 166.661
0.192, 1, 0.209277, 63.9849, 7.85615, 46.0581, -95.1801, 166.458
0.196, 1, 0.267392, 63.9591, 7.8186, 46.1457, -95.1065, 166.254
0.2, 1, 0.326103, 63.9331, 7.78101, 46.2335, -95.0329, 166.05
0.204, 1, 0.385334, 63.9068, 7.74338, 46.3214, -94.9591, 165.845
0.208, 1, 0.444991, 63.8804, 7.70575, 46.4094, -94.8852, 165.64
