timestamp,  J1, J2, J3, J4, J5, J6
0, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.004, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.008, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.012, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.016, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.02, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.024, 35.9532, 10.302, 29.7701, 91.9758, -51.1898, 52.5659
0.028, 35.9532, 10.3021, 29.7701, 91.9758, -51.1898, 52.5659
0.032, 35.9532, 10.3025, 29.7701, 91.9758, -51.1898, 52.5659
0.036, 35.9532, 10.3033, 29.7703, 91.9758, -51.19, 52.5659
0.04, 35.9531, 10.3047, 29.7705, 91.9759, -51.1905, 52.5657
0.044, 35.9531, 10.3067, 29.7709, 91.9759, -51.1914, 52.5655
0.048, 35.953, 10.3094, 29.7715, 91.976, -51.1931, 52.565
0.052, 35.9529, 10.3129, 29.7721, 91.9762, -51.1958, 52.5643
0.056, 35.9528, 10.3173, 29.7729, 91.9764, -51.2, 52.5632
0.06, 35.9526, 10.3227, 29.7738, 91.9766, -51.2062, 52.5616
0.064, 35.9524, 10.3292, 29.7748, 91.9769, -51.215, 52.5593
0.068, 35.9522, 10.3369, 29.7759, 91.9773, -51.2269, 52.5562
0.072, 35.9519, 10.3461, 29.7771, 91.9778, -51.2425, 52.5522
0.076, 35.9515, 10.3569, 29.7783, 91.9784, -51.2626, 52.547
0.08, 35.951, 10.3694, 29.7796, 91.9791, -51.2879, 52.5405
0.084, 35.9504, 10.3839, 29.781, 91.9799, -51.319, 52.5325
0.088, 35.9497, 10.4006, 29.7825, 91.9808, -51.3567, 52.5228
0.092, 35.9488, 10.4196, 29.7841, 91.9819, -51.4018, 52.5113
0.096, 35.9478, 10.4413, 29.7858, 91.983, -51.455, 52.4977
0.1, 35.9466, 10.4658, 29.7875, 91.9843, -51.5171, 52.4819
0.104, 35.9452, 10.4932, 29.7894, 91.9856, -51.589, 52.4637
0.108, 35.9435, 10.5239, 29.7914, 91.9871, -51.6712, 52.4429
0.112, 35.9416, 10.5581, 29.7936, 91.9886, -51.7648, 52.4194
0.116, 35.9394, 10.5962, 29.796, 91.9901, -51.8703, 52.3928
0.12, 35.9368, 10.6382, 29.7986, 91.9915, -51.9888, 52.3632
0.124, 35.9338, 10.6844, 29.8014, 91.9929, -52.1208, 52.3303
0.128, 35.9305, 10.7348, 29.8045, 91.9941, -52.2672, 52.294
0.132, 35.9266, 10.7895, 29.8079, 91.9951, -52.4288, 52.2542
0.136, 35.9223, 10.8485, 29.8116, 91.9957, -52.6061, 52.2106
0.14, 35.9174, 10.9121, 29.8156, 91.9959, -52.7998, 52.1633
0.144, 35.9119, 10.9802, 29.8199, 91.9954, -53.0104, 52.1121
0.148, 35.9057, 11.0532, 29.8248, 91.9943, -53.2383, 52.0571
0.152, 35.8988, 11.1308, 29.8302, 91.9923, -53.4841, 51.9981
0.156, 35.8911, 11.2129, 29.8361, 91.9893, -53.7477, 51.9353
0.16, 35.8826, 11.2992, 29.8426, 91.9851, -54.0296, 51.8685
0.164, 35.8734, 11.3898, 29.8497, 91.9796, -54.3295, 51.7979
