primitives,points,q_bp
movej_fit,"[array([423.67241125, 684.71012183, 909.43125006])]","[array([-0.0195512 ,  0.43498602, -1.02599899,  0.69346319, -1.95937373,
        5.59375802])]"
movel_fit,"[array([452.92627985, 637.86175971, 896.66812634])]","[array([-0.09646016,  0.59905897, -1.00089549,  0.70175255, -1.83265589,
        5.52507903])]"
movel_fit,"[array([465.40694965, 622.19692631, 904.97813759])]","[array([-0.10751793,  0.6030622 , -1.00104736,  0.69478528, -1.82093938,
        5.53382436])]"
movel_fit,"[array([475.95660505, 602.44710772, 917.98964089])]","[array([-0.1221156 ,  0.6029041 , -0.99386442,  0.6868663 , -1.80731701,
        5.54560933])]"
movel_fit,"[array([483.14494727, 582.39879375, 932.6981229 ])]","[array([-0.13611886,  0.60083581, -0.98154257,  0.6811932 , -1.79531765,
        5.56015248])]"
movel_fit,"[array([485.5970456 , 563.27763534, 947.95250069])]","[array([-0.14819036,  0.59817058, -0.96982622,  0.67588543, -1.78093229,
        5.57317748])]"
movel_fit,"[array([484.59927265, 546.08916526, 962.49013586])]","[array([-0.15801118,  0.59572419, -0.95787191,  0.67206567, -1.76672312,
        5.58533284])]"
movel_fit,"[array([481.21842623, 531.09233984, 976.21548829])]","[array([-0.16549541,  0.59241455, -0.94502096,  0.66966138, -1.75474198,
        5.59769018])]"
movel_fit,"[array([475.07830731, 517.68961895, 989.21204517])]","[array([-0.17162137,  0.58936913, -0.93221213,  0.66783218, -1.74204308,
        5.60838728])]"
movel_fit,"[array([ 466.34465921,  505.25923785, 1001.90655955])]","[array([-0.17717064,  0.58615101, -0.91861888,  0.66633292, -1.72851749,
        5.61788893])]"
movel_fit,"[array([ 453.40366263,  491.58143921, 1017.17125395])]","[array([-0.18268795,  0.57999635, -0.90003782,  0.66428764, -1.71391469,
        5.62976447])]"
movel_fit,"[array([ 432.15579409,  474.82694236, 1036.69186225])]","[array([-0.18966596,  0.57062902, -0.87282121,  0.66116399, -1.6941558 ,
        5.64420852])]"
movel_fit,"[array([ 398.54837844,  454.06463193, 1060.86803683])]","[array([-0.19995171,  0.55623433, -0.83184149,  0.65520005, -1.66778591,
        5.66178462])]"
movel_fit,"[array([ 371.52489849,  439.03792182, 1077.08540547])]","[array([-0.21037079,  0.54417619, -0.79771435,  0.64798798, -1.64868982,
        5.67378088])]"
movel_fit,"[array([ 348.50976919,  426.50866296, 1089.28943539])]","[array([-0.22236131,  0.53308029, -0.76683951,  0.63900544, -1.63313257,
        5.68283084])]"
movel_fit,"[array([ 328.91377681,  416.23940805, 1098.38138263])]","[array([-0.23564857,  0.52289651, -0.73878508,  0.62897748, -1.62036532,
        5.68934449])]"
movel_fit,"[array([ 310.31690891,  407.17566682, 1105.67240286])]","[array([-0.25179489,  0.51239655, -0.71014154,  0.61704715, -1.60864756,
        5.69398421])]"
movel_fit,"[array([ 292.16233566,  399.31115352, 1111.30404534])]","[array([-0.27212675,  0.50090508, -0.67969421,  0.60243594, -1.59747396,
        5.69645401])]"
movel_fit,"[array([ 275.11924199,  393.19533332, 1114.93895643])]","[array([-0.29741046,  0.48833786, -0.64743239,  0.58498408, -1.58713285,
        5.69619238])]"
movel_fit,"[array([ 260.47087286,  389.45595993, 1116.13710072])]","[array([-0.32779141,  0.47523819, -0.61403081,  0.5647381 , -1.57781504,
        5.69239001])]"
movel_fit,"[array([ 249.97613407,  388.17356305, 1114.86127789])]","[array([-0.36305457,  0.46231387, -0.58051237,  0.54120382, -1.5695505 ,
        5.68443474])]"
movel_fit,"[array([ 246.06282215,  387.82488846, 1112.17845145])]","[array([-0.40452647,  0.44999883, -0.54616566,  0.51445657, -1.56390824,
        5.67384184])]"
movel_fit,"[array([ 250.98128553,  386.62389029, 1108.92676352])]","[array([-0.45275727,  0.43976634, -0.51231644,  0.48330409, -1.56040889,
        5.66035432])]"
movel_fit,"[array([ 266.73075705,  382.61667098, 1105.9849633 ])]","[array([-0.50733228,  0.43300035, -0.48077439,  0.44624502, -1.55862887,
        5.64306603])]"
movel_fit,"[array([ 293.34479391,  373.57649096, 1104.29746568])]","[array([-0.56694662,  0.43038679, -0.4520785 ,  0.40538615, -1.55964754,
        5.62300146])]"
movel_fit,"[array([ 328.78027438,  357.77275284, 1104.07392771])]","[array([-0.62947466,  0.43268348, -0.42586084,  0.36360755, -1.56381119,
        5.60128673])]"
movel_fit,"[array([ 371.61460452,  334.53055632, 1105.00947671])]","[array([-0.69124762,  0.44057704, -0.40170887,  0.31982071, -1.57091547,
        5.57647214])]"
movel_fit,"[array([ 416.07716102,  303.56423904, 1106.09199618])]","[array([-0.75403489,  0.45099144, -0.38467816,  0.2794045 , -1.57695412,
        5.55130705])]"
movel_fit,"[array([ 456.9047362 ,  267.31705041, 1106.10714445])]","[array([-0.81677557,  0.46191434, -0.37679764,  0.2470191 , -1.57979144,
        5.52857499])]"
movel_fit,"[array([ 472.8189763 ,  254.13106196, 1105.81506759])]","[array([-0.83397753,  0.46786864, -0.3730854 ,  0.23405853, -1.58246031,
        5.51835225])]"
movel_fit,"[array([ 566.74435891,  170.09448909, 1081.48318328])]","[array([-0.9123763 ,  0.55178018, -0.35851545,  0.13993603, -1.54226285,
        5.4350246 ])]"
